asset,level_id,name,group,type,act,missions,size_m_WxDxH,spaces,kits,required_markers,blockout_tris_budget,budget_per,memory_mb,blend_path,status,owner,notes
LVL_PLN_001_EarthStarterPlanet,PLN-001,Earth (starter planet),PLN,Planet,"I (Kestrel Valley), II+ (Earth Returns)",,120000x120000x120000,0,KIT-DST KIT-TWN KIT-BLM,LVL_ANCHOR_KVL-001 TER_Face_PX,400000,planet,900,assets/levels/planets-and-voxel-scale/LVL_PLN_001_EarthStarterPlanet.blend,Not started,,
LVL_PLN_002_TheMoon,PLN-002,The Moon,PLN,Planet,II,,40000x40000x40000,0,KIT-MIN KIT-HAV,LVL_ANCHOR_ORB-004,400000,planet,900,assets/levels/planets-and-voxel-scale/LVL_PLN_002_TheMoon.blend,Not started,,
LVL_PLN_003_Veyra4,PLN-003,Veyra-4,PLN,Planet,III,,100000x100000x100000,0,KIT-JUN KIT-SOW KIT-BLM,LVL_ANCHOR_DRF-004,400000,planet,900,assets/levels/planets-and-voxel-scale/LVL_PLN_003_Veyra4.blend,Not started,,
LVL_PLN_004_Hollowmere,PLN-004,Hollowmere,PLN,Planet,III,,80000x80000x80000,0,KIT-ICE KIT-SOW,LVL_ANCHOR_DRF-005,400000,planet,900,assets/levels/planets-and-voxel-scale/LVL_PLN_004_Hollowmere.blend,Not started,,
LVL_PLN_005_DriftPlanetProcedural,PLN-005,Drift Planet (procedural),PLN,Planet,III+,,120000x120000x120000,0,KIT-DST KIT-JUN KIT-ICE KIT-BLM,,400000,planet,900,assets/levels/planets-and-voxel-scale/LVL_PLN_005_DriftPlanetProcedural.blend,Not started,,
LVL_KVL_001_KestrelValley,KVL-001,Kestrel Valley,KVL,Open Region,I (open from 0:30) + Earth Returns,M1.01–M1.07; Earth Returns side content,8000x8000x700,3,KIT-DST KIT-TWN KIT-KES KIT-BLM,PS_Main SPL_Route93 VOL_NoBuild_Complex VOL_Weather_Global VOL_LandingZone_JackrabbitFlats,50000,cell,60,assets/levels/kestrel-valley/LVL_KVL_001_KestrelValley.blend,Not started,,"Authored flat in a local east-north-up frame and stamped onto Earth's cube-face heightmap (planet chapter 03): over 8 km the 60 km-radius surface drops about 133 m at the edges, which the stamp absorbs. Streams as 32 × 32 World Partition cells of 256 m. Districts are level instances placed at their map positions."
LVL_KVL_002_KestrelAerospaceComplex,KVL-002,Kestrel Aerospace Complex,KVL,District,I (open world),M0.01–M0.03; M1.01; M1.04–M1.07,2200.0x2200.0x150,7,KIT-KES KIT-TRM KIT-DST KIT-BLM,LM_Kestrel POI_Kestrel_Main,400000,level,350,assets/levels/kestrel-valley/LVL_KVL_002_KestrelAerospaceComplex.blend,Not started,,
LVL_KVL_003_KestrelTownship,KVL-003,Kestrel Township,KVL,District,I (open world),M1.02; M1.05 (warehouse),1400.0x1400.0x150,5,KIT-TWN KIT-DST KIT-BLM,LM_Kestrel POI_Kestrel_Main,400000,level,350,assets/levels/kestrel-valley/LVL_KVL_003_KestrelTownship.blend,Not started,,
LVL_KVL_004_Route93AndTheTruckStop,KVL-004,Route 93 & the Truck Stop,KVL,District,I (open world),,1200.0x1200.0x150,3,KIT-DST KIT-TWN,LM_Route POI_Route_Main,400000,level,350,assets/levels/kestrel-valley/LVL_KVL_004_Route93AndTheTruckStop.blend,Not started,,
LVL_KVL_005_JackrabbitFlats,KVL-005,Jackrabbit Flats,KVL,District,I (open world),,2000.0x2000.0x150,3,KIT-DST KIT-BLM,LM_Jackrabbit POI_Jackrabbit_Main,400000,level,350,assets/levels/kestrel-valley/LVL_KVL_005_JackrabbitFlats.blend,Not started,,
LVL_KVL_006_HollisDamAndReservoir,KVL-006,Hollis Dam & Reservoir,KVL,District,I (open world),,1600.0x1600.0x150,3,KIT-DST KIT-BLM,LM_Hollis POI_Hollis_Main,400000,level,350,assets/levels/kestrel-valley/LVL_KVL_006_HollisDamAndReservoir.blend,Not started,,
LVL_KVL_007_SilverRidgeMines,KVL-007,Silver Ridge Mines,KVL,District,I (open world),,1600.0x1600.0x150,3,KIT-MIN KIT-DST KIT-BLM,LM_Silver POI_Silver_Main,400000,level,350,assets/levels/kestrel-valley/LVL_KVL_007_SilverRidgeMines.blend,Not started,,
LVL_KVL_008_RedMesaObservatory,KVL-008,Red Mesa Observatory,KVL,District,I (open world),,1000.0x1000.0x150,3,KIT-DST KIT-BLM,LM_Red POI_Red_Main,400000,level,350,assets/levels/kestrel-valley/LVL_KVL_008_RedMesaObservatory.blend,Not started,,
LVL_KVL_009_FortCalder,KVL-009,Fort Calder,KVL,District,I (open world),,1400.0x1400.0x150,4,KIT-DST KIT-BLM,LM_Fort POI_Fort_Main,400000,level,350,assets/levels/kestrel-valley/LVL_KVL_009_FortCalder.blend,Not started,,
LVL_KVL_010_ProspectCityEdge,KVL-010,Prospect (City Edge),KVL,District,I (open world),,1600.0x1600.0x150,4,KIT-TWN KIT-DST KIT-BLM,LM_Prospect POI_Prospect_Main,400000,level,350,assets/levels/kestrel-valley/LVL_KVL_010_ProspectCityEdge.blend,Not started,,
LVL_KVL_011_GhostTowns,KVL-011,Ghost Towns,KVL,District,I (open world),,500.0x500.0x150,3,KIT-TWN KIT-DST,LM_Ghost POI_Ghost_Main,400000,level,350,assets/levels/kestrel-valley/LVL_KVL_011_GhostTowns.blend,Not started,,
LVL_KES_001_MissionControl2068,KES-001,Mission Control 2068,KES,Set Piece,Cold Open,Cold Open,30x20x6,4,KIT-KES,PS_ColdOpen CAM_C01_Flinch TRG_ColdOpen_Drill,150000,level,350,assets/levels/kestrel-complex-and-township/LVL_KES_001_MissionControl2068.blend,Not started,,"Same room as the Mission Control Tower's control floor (KES-009), dressed three years earlier."
