asset,item_id,name,type,tier,dims_m,tris_lod0_or_1p,tris_3p,textures,status,owner,notes
SM_CMP_ScrapMetal,scrap_metal,Scrap Metal,Component,T0,0.50x0.10x0.40,300,,512 / prop atlas,Greybox built,,Bent sheet with bolts and flaking paint; 4 random shape variants.
SM_CMP_SalvagedWood,salvaged_wood,Salvaged Wood,Component,T0,1.00x0.10x0.15,200,,512 / prop atlas,Greybox built,,Bundle of planks tied with twine; nail holes.
SM_CMP_DuctTape,duct_tape,Duct Tape,Component,T0,0.12x0.05x0.12,250,,512 / prop atlas,Greybox built,,"Silver roll, half used, torn edge."
SM_CMP_WiringBundle,wiring_bundle,Wiring Bundle,Component,T0,0.30x0.10x0.30,400,,512 / prop atlas,Greybox built,,Coiled mixed-color wires with zip ties.
SM_CMP_Fabric,fabric,Fabric,Component,T0,0.40x0.15x0.30,250,,512 / prop atlas,Greybox built,,Folded canvas-and-cloth bundle.
SM_CMP_SteelPlate,steel_plate,Steel Plate,Component,T1,0.60x0.05x0.60,150,,512 / prop atlas,Greybox built,,Square plate with chamfered corners and a stamped part number.
SM_CMP_InteriorPlate,interior_plate,Interior Plate,Component,T1,0.60x0.02x0.60,120,,512 / prop atlas,Greybox built,,Thin light-grey panel with a perforated edge.
SM_CMP_ConstructionComponent,construction_component,Construction Component,Component,T1,0.30x0.20x0.30,400,,512 / prop atlas,Greybox built,,Bracket-and-bolt kit in a small bundle.
SM_CMP_MetalGrid,metal_grid,Metal Grid,Component,T2,0.60x0.05x0.60,500,,512 / prop atlas,Greybox built,,Lattice panel of cobalt-steel.
SM_CMP_Girder,girder,Girder,Component,T1,1.20x0.15x0.15,200,,512 / prop atlas,Greybox built,,Short I-beam section.
SM_CMP_SmallSteelTube,small_tube,Small Steel Tube,Component,T1,0.80x0.06x0.06,150,,512 / prop atlas,Greybox built,,Thin pipe with threaded ends.
SM_CMP_LargeSteelTube,large_tube,Large Steel Tube,Component,T1,1.20x0.25x0.25,300,,512 / prop atlas,Greybox built,,Heavy pipe section with flanges.
SM_CMP_GlassPanel,glass_panel,Glass Panel,Component,T1,0.60x0.03x0.60,100,,512 / prop atlas,Greybox built,,Bulletproof glass sheet with a protective film half peeled.
SM_CMP_Motor,motor,Motor,Component,T1,0.30x0.30x0.40,800,,512 / prop atlas,Greybox built,,Electric motor with a cooling-fin housing and shaft.
SM_CMP_Computer,computer,Computer,Component,T1,0.20x0.03x0.15,200,,512 / prop atlas,Greybox built,,Circuit board module with a heat spreader.
SM_CMP_Display,display,Display,Component,T1,0.30x0.03x0.20,150,,512 / prop atlas,Greybox built,,Screen module; emissive test pattern when dropped.
SM_CMP_PowerCell,power_cell,Power Cell,Component,T1,0.15x0.30x0.15,300,,512 / prop atlas,Greybox built,,Cylindrical cell with a charge LED.
SM_CMP_SolarCell,solar_cell,Solar Cell,Component,T1,0.30x0.02x0.30,100,,512 / prop atlas,Greybox built,,Dark-blue cell wafer with a grid pattern.
SM_CMP_RadioComponent,radio_component,Radio Component,Component,T1,0.20x0.10x0.15,350,,512 / prop atlas,Greybox built,,Transceiver board with a stubby antenna.
SM_CMP_DetectorComponent,detector_component,Detector Component,Component,T2,0.20x0.15x0.20,450,,512 / prop atlas,Greybox built,,Sensor head with a lens.
SM_CMP_MedicalComponent,medical_component,Medical Component,Component,T2,0.30x0.15x0.20,450,,512 / prop atlas,Greybox built,,Sealed white med-tech module with a red cross.
SM_CMP_FilterMesh,filter_mesh,Filter Mesh,Component,T2,0.40x0.05x0.40,250,,512 / prop atlas,Greybox built,,Pleated filter cartridge; clean white.
SM_CMP_BioPlastic,bio_plastic,Bio-Plastic,Component,T2,0.30x0.10x0.30,150,,512 / prop atlas,Greybox built,,Stack of translucent amber sheets.
SM_CMP_ThrusterComponent,thruster_component,Thruster Component,Component,T2,0.30x0.30x0.40,700,,512 / prop atlas,Greybox built,,Nozzle-and-injector assembly.
SM_CMP_ReactorComponent,reactor_component,Reactor Component,Component,T2,0.40x0.40x0.40,600,,512 / prop atlas,Greybox built,,Shielded canister with radiation stencils.
SM_CMP_Superconductor,superconductor,Superconductor,Component,T3,0.40x0.10x0.10,300,,512 / prop atlas,Greybox built,,Coiled bar in a frosted sleeve (emissive blue edge).
SM_CMP_Explosives,explosives,Explosives,Component,T2,0.20x0.15x0.20,250,,512 / prop atlas,Greybox built,,Taped brick with a detonator port.
SM_CMP_HeatShieldTile,heat_shield_tile,Heat Shield Tile,Component,T1,0.20x0.05x0.20,60,,512 / prop atlas,Greybox built,,Black hexagonal ablative tile.
SM_CMP_SowerFilament,sower_filament,Sower Filament,Component,T4,0.60x0.05x0.05,400,,512 / prop atlas,Greybox built,,Glowing teal fiber coil that slowly breathes (emissive pulse).
SM_CMP_LivingAlloy,living_alloy,Living Alloy,Component,T5,0.40x0.10x0.40,500,,512 / prop atlas,Greybox built,,Metal plate with pulsing organic veins.
SM_RES_IronOre,iron_ore,Iron Ore,Ore,T0,0.30x0.30x0.30,200,,512 / prop atlas,Greybox built,,Rust-red rock chunk.
SM_RES_NickelOre,nickel_ore,Nickel Ore,Ore,T1,0.30x0.30x0.30,200,,512 / prop atlas,Greybox built,,Silver-green rock chunk.
SM_RES_SiliconOre,silicon_ore,Silicon Ore,Ore,T1,0.30x0.30x0.30,200,,512 / prop atlas,Greybox built,,Grey crystalline chunk.
