asset,count,character_id,character,group,type,contents,tier,skeleton,size,lod0_tris,lod1_tris,lod2_tris,lod3_tris,textures,facial_set,facial_capture,blend_path,status,owner,notes
SK_CHR_Wrench,1,PLY-001,Wrench (Ren Okafor),PLY,Base,Base body + head (default outfit and hair for budget checks),Hero,"EXO_Humanoid (UE5 mannequin-compatible), adult, athletic",1.78 m tall,160000,80000,32000,9600,Head 4K (BC/N/ORM/SSS + 2 wrinkle normals) · Body 4K · Outfit 2× 4K · Hair 4K · Eyes 2K · Teeth & tongue 1K,hero,yes,assets/characters/player-character/SK_CHR_Wrench.blend,Greybox built,,"Includes head, body skin and the default outfit and hair when checking the full-character budget."
SK_CHR_Wrench_Outfit_KestrelCoveralls,1,PLY-001,Wrench (Ren Okafor),PLY,Outfit,Kestrel Coveralls,Hero,"EXO_Humanoid (UE5 mannequin-compatible), adult, athletic",1.78 m tall,85000,42500,17000,5100,Head 4K (BC/N/ORM/SSS + 2 wrinkle normals) · Body 4K · Outfit 2× 4K · Hair 4K · Eyes 2K · Teeth & tongue 1K,hero,yes,assets/characters/player-character/SK_CHR_Wrench_Outfit_KestrelCoveralls.blend,Greybox built,,Prologue–Act I
SK_CHR_Wrench_Outfit_SurvivorLayers,1,PLY-001,Wrench (Ren Okafor),PLY,Outfit,Survivor Layers,Hero,"EXO_Humanoid (UE5 mannequin-compatible), adult, athletic",1.78 m tall,85000,42500,17000,5100,Head 4K (BC/N/ORM/SSS + 2 wrinkle normals) · Body 4K · Outfit 2× 4K · Hair 4K · Eyes 2K · Teeth & tongue 1K,hero,yes,assets/characters/player-character/SK_CHR_Wrench_Outfit_SurvivorLayers.blend,Greybox built,,Act I (after M1.01)
SK_CHR_Wrench_Outfit_ColonyCasual,1,PLY-001,Wrench (Ren Okafor),PLY,Outfit,Colony Casual,Hero,"EXO_Humanoid (UE5 mannequin-compatible), adult, athletic",1.78 m tall,85000,42500,17000,5100,Head 4K (BC/N/ORM/SSS + 2 wrinkle normals) · Body 4K · Outfit 2× 4K · Hair 4K · Eyes 2K · Teeth & tongue 1K,hero,yes,assets/characters/player-character/SK_CHR_Wrench_Outfit_ColonyCasual.blend,Greybox built,,Act II+ (hearth scenes)
SK_CHR_Wrench_Hair_Twists,1,PLY-001,Wrench (Ren Okafor),PLY,Hair,Short twists (default) (cards),Hero,"EXO_Humanoid (UE5 mannequin-compatible), adult, athletic",1.78 m tall,40000,20000,8000,2400,Head 4K (BC/N/ORM/SSS + 2 wrinkle normals) · Body 4K · Outfit 2× 4K · Hair 4K · Eyes 2K · Teeth & tongue 1K,hero,yes,assets/characters/player-character/SK_CHR_Wrench_Hair_Twists.blend,Greybox built,,
SK_CHR_Wrench_Arms1P_KestrelCoveralls,1,PLY-001,Wrench (Ren Okafor),PLY,1P arms,First-person arms — Kestrel Coveralls,Hero,"EXO_Humanoid (UE5 mannequin-compatible), adult, athletic",1.78 m tall,25000,12500,5000,1500,Head 4K (BC/N/ORM/SSS + 2 wrinkle normals) · Body 4K · Outfit 2× 4K · Hair 4K · Eyes 2K · Teeth & tongue 1K,hero,yes,assets/characters/player-character/SK_CHR_Wrench_Arms1P_KestrelCoveralls.blend,Greybox built,,
SK_CHR_Wrench_Arms1P_SurvivorLayers,1,PLY-001,Wrench (Ren Okafor),PLY,1P arms,First-person arms — Survivor Layers,Hero,"EXO_Humanoid (UE5 mannequin-compatible), adult, athletic",1.78 m tall,25000,12500,5000,1500,Head 4K (BC/N/ORM/SSS + 2 wrinkle normals) · Body 4K · Outfit 2× 4K · Hair 4K · Eyes 2K · Teeth & tongue 1K,hero,yes,assets/characters/player-character/SK_CHR_Wrench_Arms1P_SurvivorLayers.blend,Greybox built,,
SK_CHR_Wrench_Arms1P_ColonyCasual,1,PLY-001,Wrench (Ren Okafor),PLY,1P arms,First-person arms — Colony Casual,Hero,"EXO_Humanoid (UE5 mannequin-compatible), adult, athletic",1.78 m tall,25000,12500,5000,1500,Head 4K (BC/N/ORM/SSS + 2 wrinkle normals) · Body 4K · Outfit 2× 4K · Hair 4K · Eyes 2K · Teeth & tongue 1K,hero,yes,assets/characters/player-character/SK_CHR_Wrench_Arms1P_ColonyCasual.blend,Greybox built,,
SK_CHR_AdaOkafor,1,CST-001,Ada Okafor,CST,Base,Base body + head (default outfit and hair for budget checks),Hero,"EXO_Humanoid (UE5 mannequin-compatible), adult, athletic",1.74 m tall,160000,80000,32000,9600,Head 4K (BC/N/ORM/SSS + 2 wrinkle normals) · Body 4K · Outfit 2× 4K · Hair 4K · Eyes 2K · Teeth & tongue 1K,hero,yes,assets/characters/story-cast/SK_CHR_AdaOkafor.blend,Greybox built,,"Includes head, body skin and the default outfit and hair when checking the full-character budget."
SK_CHR_AdaOkafor_Outfit_FlightSuit,1,CST-001,Ada Okafor,CST,Outfit,Directorate Flight Suit,Hero,"EXO_Humanoid (UE5 mannequin-compatible), adult, athletic",1.74 m tall,85000,42500,17000,5100,Head 4K (BC/N/ORM/SSS + 2 wrinkle normals) · Body 4K · Outfit 2× 4K · Hair 4K · Eyes 2K · Teeth & tongue 1K,hero,yes,assets/characters/story-cast/SK_CHR_AdaOkafor_Outfit_FlightSuit.blend,Greybox built,,Prologue–Act II
