asset,kit,piece,size_m_WxDxH,pivot,lod0_tris,art_set,status,owner,notes
SM_KIT_KES_Wall25,KIT-KES,Wall 2.5,2.5x0.3x3,corner,400,IND,Not started,,
SM_KIT_KES_Wall50,KIT-KES,Wall 5.0,5x0.3x3,corner,600,IND,Not started,,
SM_KIT_KES_WallDoor12,KIT-KES,Wall Door 1.2,2.5x0.3x3,corner,700,IND,Not started,,1.2 × 2.2 m opening
SM_KIT_KES_WallWindow,KIT-KES,Wall Window,2.5x0.3x3,corner,700,IND,Not started,,Sill at 1.0 m
SM_KIT_KES_WallCornerOut,KIT-KES,Wall Corner Out,0.3x0.3x3,corner,150,IND,Not started,,
SM_KIT_KES_Floor25,KIT-KES,Floor 2.5,2.5x2.5x0.2,corner,200,IND,Not started,,
SM_KIT_KES_FloorGrate25,KIT-KES,Floor Grate 2.5,2.5x2.5x0.15,corner,600,IND,Not started,,Masked grate trim
SM_KIT_KES_Ceiling25,KIT-KES,Ceiling 2.5,2.5x2.5x0.3,corner,300,IND,Not started,,
SM_KIT_KES_Pillar,KIT-KES,Pillar,0.6x0.6x3,bottom-center,300,IND,Not started,,
SM_KIT_KES_Stairs3M,KIT-KES,Stairs 3 m,2.5x5x3,corner,1500,IND,Not started,,0.18 rise / 0.28 run
SM_KIT_KES_Railing25,KIT-KES,Railing 2.5,2.5x0.1x1.1,corner,400,IND,Not started,,
SM_KIT_KES_Catwalk25,KIT-KES,Catwalk 2.5,2.5x1.5x0.15,corner,600,IND,Not started,,
SM_KIT_KES_PipeRun5M,KIT-KES,Pipe Run 5 m,5x0.6x0.6,corner,800,IND,Not started,,
SM_KIT_KES_CableTray5M,KIT-KES,Cable Tray 5 m,5x0.5x0.2,corner,500,IND,Not started,,
SM_KIT_KES_HangarDoor30x15,KIT-KES,Hangar Door 30×15,30x1x15,corner,6000,IND,Not started,,Segmented; animated
SM_KIT_KES_BlastDoorFrame,KIT-KES,Blast Door Frame,5x1x5,corner,2000,IND,Not started,,
SM_KIT_TWN_HouseWall5,KIT-TWN,House Wall 5,5x0.25x3,corner,500,DOM,Not started,,
SM_KIT_TWN_HouseWallDoor,KIT-TWN,House Wall Door,5x0.25x3,corner,900,DOM,Not started,,
SM_KIT_TWN_HouseWallWindow,KIT-TWN,House Wall Window,5x0.25x3,corner,900,DOM,Not started,,
SM_KIT_TWN_RoofGable5,KIT-TWN,Roof Gable 5,5x5x2.5,corner,700,DOM,Not started,,
SM_KIT_TWN_Porch5,KIT-TWN,Porch 5,5x2.5x3,corner,1500,DOM,Not started,,
SM_KIT_TWN_Storefront10,KIT-TWN,Storefront 10,10x1x4.5,corner,2500,DOM,Not started,,
SM_KIT_TWN_Road10MTwoWay,KIT-TWN,Road 10 m (two-way),8x10x0.2,corner,300,DOM,Not started,,Lanes 4 m
SM_KIT_TWN_Sidewalk10M,KIT-TWN,Sidewalk 10 m,2x10x0.2,corner,200,DOM,Not started,,
SM_KIT_TWN_CurbCorner,KIT-TWN,Curb Corner,2x2x0.2,corner,300,DOM,Not started,,
SM_KIT_TWN_Streetlight,KIT-TWN,Streetlight,0.4x1.5x7,bottom-center,800,DOM,Not started,,
SM_KIT_TWN_Fence25,KIT-TWN,Fence 2.5,2.5x0.1x1.8,corner,400,DOM,Not started,,
SM_KIT_TWN_WaterTower,KIT-TWN,Water Tower,10x10x30,bottom-center,6000,DOM,Not started,,Township landmark
SM_KIT_TRM_GlassCurtainWall5,KIT-TRM,Glass Curtain Wall 5,5x0.3x12,corner,1200,IND,Not started,,
SM_KIT_TRM_GateDesk,KIT-TRM,Gate Desk,4x1.5x1.2,bottom-center,1500,IND,Not started,,
SM_KIT_TRM_SeatingRow,KIT-TRM,Seating Row,5x0.8x1,corner,1800,IND,Not started,,
SM_KIT_TRM_SkywalkSegment10,KIT-TRM,Skywalk Segment 10,10x6x4,corner,3000,IND,Not started,,Destructible (collapse set piece)
SM_KIT_TRM_BaggageCarousel,KIT-TRM,Baggage Carousel,12x6x1,bottom-center,3500,IND,Not started,,
SM_KIT_TRM_DepartureBoard,KIT-TRM,Departure Board,4x0.3x2,bottom-center,600,IND,Not started,,Emissive screen
SM_KIT_TRM_SecurityScanner,KIT-TRM,Security Scanner,1.5x2.5x2.3,bottom-center,1200,IND,Not started,,
SM_KIT_MIN_Tunnel4MArch10,KIT-MIN,Tunnel 4 m Arch 10,4x10x4,bottom-center,1200,IND,Not started,,
SM_KIT_MIN_TunnelJunctionT,KIT-MIN,Tunnel Junction T,8x8x4,bottom-center,2000,IND,Not started,,
SM_KIT_MIN_TimberSupport,KIT-MIN,Timber Support,4.5x0.4x4.2,bottom-center,500,IND,Not started,,
SM_KIT_MIN_Rail10M,KIT-MIN,Rail 10 m,1.2x10x0.3,bottom-center,400,IND,Not started,,
SM_KIT_MIN_OreCart,KIT-MIN,Ore Cart,1.2x2x1.2,bottom-center,1200,IND,Not started,,
SM_KIT_MIN_ElevatorCage,KIT-MIN,Elevator Cage,3x3x3,bottom-center,1500,IND,Not started,,
SM_KIT_MIN_HeadFrameTower,KIT-MIN,Head-frame Tower,12x12x45,bottom-center,8000,IND,Not started,,Landmark
SM_KIT_MIN_LunarDome20,KIT-MIN,Lunar Dome 20,20x20x10,bottom-center,4000,IND,Not started,,
SM_KIT_HAV_ModuleCylinder12M,KIT-HAV,Module Cylinder 12 m,5x12x5,center,3000,IND,Not started,,5 m diameter pressurized
