asset,part_id,registry_id,part_name,variant,category,group,grid,size_cells_WxHxD,dims_m_WxHxD,tier,art_set,complexity,mass_kg,hp,power_kw,recipe,lod0_tris,lod1_tris,lod2_tris,lod3_tris,build_stages,collision_max_hulls,texture_strategy,texel_density_px_m,mount_faces,airtight_faces,sockets,moving_parts,emissive,debris_set,blend_path,export_path,status,owner,notes
SM_STR_ArmorBlock_Light_LG,STR-001,block.structure.armor_block,Armor Block,Light,STR,Armor,LG,1×1×1,2.50x2.50x2.50,T1,IND,S,500,1500,0,steel_plate:25,800,400,160,48,2,2,Shared trim sheet only (no unique maps),512,front back left right top bottom,front back left right top bottom,,,,S,assets/parts/structure/SM_STR_ArmorBlock_Light_LG.blend,export/parts/structure/SM_STR_ArmorBlock_Light_LG.fbx,Not started,,The workhorse. Panel seams every 0.625 m (LG) / 0.125 m (SG) so neighbours read as one continuous hull. All six faces identical so rotation never shows. Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh.
SM_STR_ArmorBlock_Light_SG,STR-001,block.structure.armor_block,Armor Block,Light,STR,Armor,SG,1×1×1,0.50x0.50x0.50,T1,IND,S,20,60,0,steel_plate:1,300,150,60,18,2,2,Shared trim sheet only (no unique maps),1024,front back left right top bottom,front back left right top bottom,,,,XS,assets/parts/structure/SM_STR_ArmorBlock_Light_SG.blend,export/parts/structure/SM_STR_ArmorBlock_Light_SG.fbx,Not started,,The workhorse. Panel seams every 0.625 m (LG) / 0.125 m (SG) so neighbours read as one continuous hull. All six faces identical so rotation never shows. Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh.
SM_STR_ArmorBlock_Heavy_LG,STR-001,block.structure.armor_block,Armor Block,Heavy,STR,Armor,LG,1×1×1,2.50x2.50x2.50,T2,IND,S,3300,6495,0,steel_plate:150; metal_grid:50,800,400,160,48,2,2,Shared trim sheet only (no unique maps),512,front back left right top bottom,front back left right top bottom,,,,S,assets/parts/structure/SM_STR_ArmorBlock_Heavy_LG.blend,export/parts/structure/SM_STR_ArmorBlock_Heavy_LG.fbx,Not started,,The workhorse. Panel seams every 0.625 m (LG) / 0.125 m (SG) so neighbours read as one continuous hull. All six faces identical so rotation never shows. Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh.
SM_STR_ArmorBlock_Heavy_SG,STR-001,block.structure.armor_block,Armor Block,Heavy,STR,Armor,SG,1×1×1,0.50x0.50x0.50,T2,IND,S,132,260,0,steel_plate:5; metal_grid:1,300,150,60,18,2,2,Shared trim sheet only (no unique maps),1024,front back left right top bottom,front back left right top bottom,,,,XS,assets/parts/structure/SM_STR_ArmorBlock_Heavy_SG.blend,export/parts/structure/SM_STR_ArmorBlock_Heavy_SG.fbx,Not started,,The workhorse. Panel seams every 0.625 m (LG) / 0.125 m (SG) so neighbours read as one continuous hull. All six faces identical so rotation never shows. Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh.
SM_STR_ArmorSlope_Light_LG,STR-002,block.structure.armor_slope,Armor Slope,Light,STR,Armor,LG,1×1×1,2.50x2.50x2.50,T1,IND,S,250,750,0,steel_plate:12,800,400,160,48,2,2,Shared trim sheet only (no unique maps),512,back bottom left right,front back left right top bottom,,,,S,assets/parts/structure/SM_STR_ArmorSlope_Light_LG.blend,export/parts/structure/SM_STR_ArmorSlope_Light_LG.fbx,Not started,,45° face from front-bottom edge to back-top edge. Side faces are right triangles; keep seam lines matching the Block's. Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh.
SM_STR_ArmorSlope_Light_SG,STR-002,block.structure.armor_slope,Armor Slope,Light,STR,Armor,SG,1×1×1,0.50x0.50x0.50,T1,IND,S,10,30,0,steel_plate:1,300,150,60,18,2,2,Shared trim sheet only (no unique maps),1024,back bottom left right,front back left right top bottom,,,,XS,assets/parts/structure/SM_STR_ArmorSlope_Light_SG.blend,export/parts/structure/SM_STR_ArmorSlope_Light_SG.fbx,Not started,,45° face from front-bottom edge to back-top edge. Side faces are right triangles; keep seam lines matching the Block's. Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh.
SM_STR_ArmorSlope_Heavy_LG,STR-002,block.structure.armor_slope,Armor Slope,Heavy,STR,Armor,LG,1×1×1,2.50x2.50x2.50,T2,IND,S,1650,3248,0,steel_plate:75; metal_grid:25,800,400,160,48,2,2,Shared trim sheet only (no unique maps),512,back bottom left right,front back left right top bottom,,,,S,assets/parts/structure/SM_STR_ArmorSlope_Heavy_LG.blend,export/parts/structure/SM_STR_ArmorSlope_Heavy_LG.fbx,Not started,,45° face from front-bottom edge to back-top edge. Side faces are right triangles; keep seam lines matching the Block's. Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh.
SM_STR_ArmorSlope_Heavy_SG,STR-002,block.structure.armor_slope,Armor Slope,Heavy,STR,Armor,SG,1×1×1,0.50x0.50x0.50,T2,IND,S,66,130,0,steel_plate:2; metal_grid:1,300,150,60,18,2,2,Shared trim sheet only (no unique maps),1024,back bottom left right,front back left right top bottom,,,,XS,assets/parts/structure/SM_STR_ArmorSlope_Heavy_SG.blend,export/parts/structure/SM_STR_ArmorSlope_Heavy_SG.fbx,Not started,,45° face from front-bottom edge to back-top edge. Side faces are right triangles; keep seam lines matching the Block's. Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh.
SM_STR_ArmorCorner_Light_LG,STR-003,block.structure.armor_corner,Armor Corner,Light,STR,Armor,LG,1×1×1,2.50x2.50x2.50,T1,IND,S,85,255,0,steel_plate:4,800,400,160,48,2,2,Shared trim sheet only (no unique maps),512,back bottom right,front back left right top bottom,,,,S,assets/parts/structure/SM_STR_ArmorCorner_Light_LG.blend,export/parts/structure/SM_STR_ArmorCorner_Light_LG.fbx,Not started,,Tetrahedron filling one corner. Pairs with Slope; the three open edges need 2 mm bevel continuity. Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh.
SM_STR_ArmorCorner_Light_SG,STR-003,block.structure.armor_corner,Armor Corner,Light,STR,Armor,SG,1×1×1,0.50x0.50x0.50,T1,IND,S,3.0,10,0,steel_plate:1,300,150,60,18,2,2,Shared trim sheet only (no unique maps),1024,back bottom right,front back left right top bottom,,,,XS,assets/parts/structure/SM_STR_ArmorCorner_Light_SG.blend,export/parts/structure/SM_STR_ArmorCorner_Light_SG.fbx,Not started,,Tetrahedron filling one corner. Pairs with Slope; the three open edges need 2 mm bevel continuity. Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh.
SM_STR_ArmorCorner_Heavy_LG,STR-003,block.structure.armor_corner,Armor Corner,Heavy,STR,Armor,LG,1×1×1,2.50x2.50x2.50,T2,IND,S,561,1104,0,steel_plate:26; metal_grid:8,800,400,160,48,2,2,Shared trim sheet only (no unique maps),512,back bottom right,front back left right top bottom,,,,S,assets/parts/structure/SM_STR_ArmorCorner_Heavy_LG.blend,export/parts/structure/SM_STR_ArmorCorner_Heavy_LG.fbx,Not started,,Tetrahedron filling one corner. Pairs with Slope; the three open edges need 2 mm bevel continuity. Deformation: vertex-shader dents driven by the damage texture; no separate damaged mesh.
